date,state,admitted_covid
01-08-22,Johor,41
01-08-22,Kedah,26
01-08-22,Kelantan,6
01-08-22,Melaka,14
01-08-22,Negeri Sembilan,14
01-08-22,Pahang,7
01-08-22,Perak,45
01-08-22,Perlis,7
01-08-22,Pulau Pinang,29
01-08-22,Sabah,14
01-08-22,Sarawak,20
01-08-22,Selangor,64
01-08-22,Terengganu,7
01-08-22,W.P. Kuala Lumpur,27
01-08-22,W.P. Labuan,3
01-08-22,W.P. Putrajaya,7
02-08-22,Johor,42
02-08-22,Kedah,35
02-08-22,Kelantan,12
02-08-22,Melaka,10
02-08-22,Negeri Sembilan,18
02-08-22,Pahang,17
02-08-22,Perak,45
02-08-22,Perlis,1
02-08-22,Pulau Pinang,18
02-08-22,Sabah,23
02-08-22,Sarawak,13
02-08-22,Selangor,73
02-08-22,Terengganu,7
02-08-22,W.P. Kuala Lumpur,22
02-08-22,W.P. Labuan,1
02-08-22,W.P. Putrajaya,7
03-08-22,Johor,46
03-08-22,Kedah,39
03-08-22,Kelantan,9
03-08-22,Melaka,12
03-08-22,Negeri Sembilan,16
03-08-22,Pahang,13
03-08-22,Perak,41
03-08-22,Perlis,7
03-08-22,Pulau Pinang,19
03-08-22,Sabah,26
03-08-22,Sarawak,10
03-08-22,Selangor,79
03-08-22,Terengganu,5
03-08-22,W.P. Kuala Lumpur,27
03-08-22,W.P. Labuan,0
03-08-22,W.P. Putrajaya,9
04-08-22,Johor,46
04-08-22,Kedah,28
04-08-22,Kelantan,13
04-08-22,Melaka,12
04-08-22,Negeri Sembilan,11
04-08-22,Pahang,11
04-08-22,Perak,47
04-08-22,Perlis,4
04-08-22,Pulau Pinang,23
04-08-22,Sabah,18
04-08-22,Sarawak,15
04-08-22,Selangor,93
04-08-22,Terengganu,7
04-08-22,W.P. Kuala Lumpur,14
04-08-22,W.P. Labuan,1
04-08-22,W.P. Putrajaya,7
05-08-22,Johor,59
05-08-22,Kedah,23
05-08-22,Kelantan,7
05-08-22,Melaka,13
05-08-22,Negeri Sembilan,21
05-08-22,Pahang,8
05-08-22,Perak,40
05-08-22,Perlis,5
05-08-22,Pulau Pinang,32
05-08-22,Sabah,29
05-08-22,Sarawak,12
05-08-22,Selangor,77
05-08-22,Terengganu,9
05-08-22,W.P. Kuala Lumpur,29
05-08-22,W.P. Labuan,2
05-08-22,W.P. Putrajaya,10
06-08-22,Johor,29
06-08-22,Kedah,17
06-08-22,Kelantan,10
06-08-22,Melaka,17
06-08-22,Negeri Sembilan,19
06-08-22,Pahang,9
06-08-22,Perak,51
06-08-22,Perlis,2
06-08-22,Pulau Pinang,20
06-08-22,Sabah,17
06-08-22,Sarawak,8
06-08-22,Selangor,82
06-08-22,Terengganu,3
06-08-22,W.P. Kuala Lumpur,27
06-08-22,W.P. Labuan,2
06-08-22,W.P. Putrajaya,9
07-08-22,Johor,46
07-08-22,Kedah,34
07-08-22,Kelantan,10
07-08-22,Melaka,8
07-08-22,Negeri Sembilan,18
07-08-22,Pahang,13
07-08-22,Perak,37
07-08-22,Perlis,3
07-08-22,Pulau Pinang,19
07-08-22,Sabah,20
07-08-22,Sarawak,11
07-08-22,Selangor,133
07-08-22,Terengganu,9
07-08-22,W.P. Kuala Lumpur,19
07-08-22,W.P. Labuan,2
07-08-22,W.P. Putrajaya,4
08-08-22,Johor,53
08-08-22,Kedah,33
08-08-22,Kelantan,16
08-08-22,Melaka,18
08-08-22,Negeri Sembilan,11
08-08-22,Pahang,10
08-08-22,Perak,25
08-08-22,Perlis,4
08-08-22,Pulau Pinang,7
08-08-22,Sabah,26
08-08-22,Sarawak,17
08-08-22,Selangor,74
08-08-22,Terengganu,11
08-08-22,W.P. Kuala Lumpur,19
08-08-22,W.P. Labuan,3
08-08-22,W.P. Putrajaya,6
09-08-22,Johor,50
09-08-22,Kedah,18
09-08-22,Kelantan,12
09-08-22,Melaka,13
09-08-22,Negeri Sembilan,16
09-08-22,Pahang,17
09-08-22,Perak,48
09-08-22,Perlis,3
09-08-22,Pulau Pinang,18
09-08-22,Sabah,29
09-08-22,Sarawak,14
09-08-22,Selangor,71
09-08-22,Terengganu,9
09-08-22,W.P. Kuala Lumpur,41
09-08-22,W.P. Labuan,1
09-08-22,W.P. Putrajaya,8
10-08-22,Johor,55
10-08-22,Kedah,29
10-08-22,Kelantan,11
10-08-22,Melaka,13
10-08-22,Negeri Sembilan,23
10-08-22,Pahang,22
10-08-22,Perak,27
10-08-22,Perlis,8
10-08-22,Pulau Pinang,22
10-08-22,Sabah,24
10-08-22,Sarawak,13
10-08-22,Selangor,94
10-08-22,Terengganu,5
10-08-22,W.P. Kuala Lumpur,29
10-08-22,W.P. Labuan,0
10-08-22,W.P. Putrajaya,10
11-08-22,Johor,49
11-08-22,Kedah,30
11-08-22,Kelantan,13
11-08-22,Melaka,26
11-08-22,Negeri Sembilan,20
11-08-22,Pahang,14
11-08-22,Perak,56
11-08-22,Perlis,3
11-08-22,Pulau Pinang,17
11-08-22,Sabah,16
11-08-22,Sarawak,14
11-08-22,Selangor,82
11-08-22,Terengganu,16
11-08-22,W.P. Kuala Lumpur,24
11-08-22,W.P. Labuan,0
11-08-22,W.P. Putrajaya,10
12-08-22,Johor,48
12-08-22,Kedah,23
12-08-22,Kelantan,15
12-08-22,Melaka,10
12-08-22,Negeri Sembilan,24
12-08-22,Pahang,14
12-08-22,Perak,34
12-08-22,Perlis,0
12-08-22,Pulau Pinang,17
12-08-22,Sabah,18
12-08-22,Sarawak,23
12-08-22,Selangor,82
12-08-22,Terengganu,10
12-08-22,W.P. Kuala Lumpur,32
12-08-22,W.P. Labuan,0
12-08-22,W.P. Putrajaya,5
13-08-22,Johor,51
13-08-22,Kedah,15
13-08-22,Kelantan,15
13-08-22,Melaka,10
13-08-22,Negeri Sembilan,14
13-08-22,Pahang,16
13-08-22,Perak,48
13-08-22,Perlis,9
13-08-22,Pulau Pinang,21
13-08-22,Sabah,15
13-08-22,Sarawak,14
13-08-22,Selangor,86
13-08-22,Terengganu,12
13-08-22,W.P. Kuala Lumpur,30
13-08-22,W.P. Labuan,1
13-08-22,W.P. Putrajaya,8
14-08-22,Johor,50
14-08-22,Kedah,20
14-08-22,Kelantan,13
14-08-22,Melaka,13
14-08-22,Negeri Sembilan,20
14-08-22,Pahang,8
14-08-22,Perak,34
14-08-22,Perlis,0
14-08-22,Pulau Pinang,18
14-08-22,Sabah,20
14-08-22,Sarawak,9
14-08-22,Selangor,80
14-08-22,Terengganu,10
14-08-22,W.P. Kuala Lumpur,17
14-08-22,W.P. Labuan,0
14-08-22,W.P. Putrajaya,5
15-08-22,Johor,47
15-08-22,Kedah,18
15-08-22,Kelantan,16
15-08-22,Melaka,8
15-08-22,Negeri Sembilan,13
15-08-22,Pahang,13
15-08-22,Perak,24
15-08-22,Perlis,4
15-08-22,Pulau Pinang,13
15-08-22,Sabah,26
15-08-22,Sarawak,13
15-08-22,Selangor,73
15-08-22,Terengganu,14
15-08-22,W.P. Kuala Lumpur,12
15-08-22,W.P. Labuan,0
15-08-22,W.P. Putrajaya,4
16-08-22,Johor,43
16-08-22,Kedah,23
16-08-22,Kelantan,19
16-08-22,Melaka,17
16-08-22,Negeri Sembilan,14
16-08-22,Pahang,14
16-08-22,Perak,31
16-08-22,Perlis,3
16-08-22,Pulau Pinang,13
16-08-22,Sabah,27
16-08-22,Sarawak,16
16-08-22,Selangor,89
16-08-22,Terengganu,13
16-08-22,W.P. Kuala Lumpur,20
16-08-22,W.P. Labuan,1
16-08-22,W.P. Putrajaya,11
17-08-22,Johor,42
17-08-22,Kedah,18
17-08-22,Kelantan,17
17-08-22,Melaka,13
17-08-22,Negeri Sembilan,19
17-08-22,Pahang,4
17-08-22,Perak,38
17-08-22,Perlis,1
17-08-22,Pulau Pinang,11
17-08-22,Sabah,23
17-08-22,Sarawak,18
17-08-22,Selangor,85
17-08-22,Terengganu,13
17-08-22,W.P. Kuala Lumpur,29
17-08-22,W.P. Labuan,1
17-08-22,W.P. Putrajaya,10
18-08-22,Johor,102
18-08-22,Kedah,19
18-08-22,Kelantan,15
18-08-22,Melaka,11
18-08-22,Negeri Sembilan,11
18-08-22,Pahang,15
18-08-22,Perak,34
18-08-22,Perlis,0
18-08-22,Pulau Pinang,17
18-08-22,Sabah,24
18-08-22,Sarawak,15
18-08-22,Selangor,92
18-08-22,Terengganu,12
18-08-22,W.P. Kuala Lumpur,26
18-08-22,W.P. Labuan,0
18-08-22,W.P. Putrajaya,11
19-08-22,Johor,41
19-08-22,Kedah,14
19-08-22,Kelantan,16
19-08-22,Melaka,13
19-08-22,Negeri Sembilan,7
19-08-22,Pahang,11
19-08-22,Perak,27
19-08-22,Perlis,1
19-08-22,Pulau Pinang,12
19-08-22,Sabah,21
19-08-22,Sarawak,18
19-08-22,Selangor,61
19-08-22,Terengganu,10
19-08-22,W.P. Kuala Lumpur,25
19-08-22,W.P. Labuan,1
19-08-22,W.P. Putrajaya,10
20-08-22,Johor,46
20-08-22,Kedah,16
20-08-22,Kelantan,9
20-08-22,Melaka,6
20-08-22,Negeri Sembilan,11
20-08-22,Pahang,11
20-08-22,Perak,27
20-08-22,Perlis,4
20-08-22,Pulau Pinang,14
20-08-22,Sabah,23
20-08-22,Sarawak,9
20-08-22,Selangor,61
20-08-22,Terengganu,8
20-08-22,W.P. Kuala Lumpur,21
20-08-22,W.P. Labuan,2
20-08-22,W.P. Putrajaya,7
21-08-22,Johor,46
21-08-22,Kedah,11
21-08-22,Kelantan,16
21-08-22,Melaka,13
21-08-22,Negeri Sembilan,7
21-08-22,Pahang,16
21-08-22,Perak,38
21-08-22,Perlis,4
21-08-22,Pulau Pinang,11
21-08-22,Sabah,19
21-08-22,Sarawak,10
21-08-22,Selangor,55
21-08-22,Terengganu,12
21-08-22,W.P. Kuala Lumpur,15
21-08-22,W.P. Labuan,1
21-08-22,W.P. Putrajaya,13
22-08-22,Johor,39
22-08-22,Kedah,22
22-08-22,Kelantan,18
22-08-22,Melaka,11
22-08-22,Negeri Sembilan,7
22-08-22,Pahang,8
22-08-22,Perak,17
22-08-22,Perlis,2
22-08-22,Pulau Pinang,9
22-08-22,Sabah,17
22-08-22,Sarawak,11
22-08-22,Selangor,69
22-08-22,Terengganu,12
22-08-22,W.P. Kuala Lumpur,19
22-08-22,W.P. Labuan,2
22-08-22,W.P. Putrajaya,9
23-08-22,Johor,34
23-08-22,Kedah,10
23-08-22,Kelantan,11
23-08-22,Melaka,7
23-08-22,Negeri Sembilan,20
23-08-22,Pahang,16
23-08-22,Perak,46
23-08-22,Perlis,1
23-08-22,Pulau Pinang,10
23-08-22,Sabah,28
23-08-22,Sarawak,11
23-08-22,Selangor,55
23-08-22,Terengganu,15
23-08-22,W.P. Kuala Lumpur,16
23-08-22,W.P. Labuan,0
23-08-22,W.P. Putrajaya,6
24-08-22,Johor,35
24-08-22,Kedah,16
24-08-22,Kelantan,14
24-08-22,Melaka,15
24-08-22,Negeri Sembilan,13
24-08-22,Pahang,6
24-08-22,Perak,26
24-08-22,Perlis,3
24-08-22,Pulau Pinang,12
24-08-22,Sabah,21
24-08-22,Sarawak,16
24-08-22,Selangor,66
24-08-22,Terengganu,11
24-08-22,W.P. Kuala Lumpur,24
24-08-22,W.P. Labuan,0
24-08-22,W.P. Putrajaya,6
25-08-22,Johor,38
25-08-22,Kedah,22
25-08-22,Kelantan,22
25-08-22,Melaka,11
25-08-22,Negeri Sembilan,22
25-08-22,Pahang,15
25-08-22,Perak,20
25-08-22,Perlis,2
25-08-22,Pulau Pinang,10
25-08-22,Sabah,18
25-08-22,Sarawak,15
25-08-22,Selangor,59
25-08-22,Terengganu,10
25-08-22,W.P. Kuala Lumpur,14
25-08-22,W.P. Labuan,0
25-08-22,W.P. Putrajaya,6
26-08-22,Johor,33
26-08-22,Kedah,22
26-08-22,Kelantan,19
26-08-22,Melaka,11
26-08-22,Negeri Sembilan,10
26-08-22,Pahang,15
26-08-22,Perak,48
26-08-22,Perlis,5
26-08-22,Pulau Pinang,18
26-08-22,Sabah,27
26-08-22,Sarawak,19
26-08-22,Selangor,47
26-08-22,Terengganu,8
26-08-22,W.P. Kuala Lumpur,14
26-08-22,W.P. Labuan,0
26-08-22,W.P. Putrajaya,4
27-08-22,Johor,30
27-08-22,Kedah,18
27-08-22,Kelantan,13
27-08-22,Melaka,3
27-08-22,Negeri Sembilan,16
27-08-22,Pahang,9
27-08-22,Perak,34
27-08-22,Perlis,5
27-08-22,Pulau Pinang,10
27-08-22,Sabah,23
27-08-22,Sarawak,7
27-08-22,Selangor,62
27-08-22,Terengganu,9
27-08-22,W.P. Kuala Lumpur,14
27-08-22,W.P. Labuan,0
27-08-22,W.P. Putrajaya,7
28-08-22,Johor,35
28-08-22,Kedah,22
28-08-22,Kelantan,17
28-08-22,Melaka,7
28-08-22,Negeri Sembilan,6
28-08-22,Pahang,6
28-08-22,Perak,24
28-08-22,Perlis,6
28-08-22,Pulau Pinang,10
28-08-22,Sabah,10
28-08-22,Sarawak,27
28-08-22,Selangor,50
28-08-22,Terengganu,9
28-08-22,W.P. Kuala Lumpur,11
28-08-22,W.P. Labuan,0
28-08-22,W.P. Putrajaya,7
29-08-22,Johor,32
29-08-22,Kedah,18
29-08-22,Kelantan,21
29-08-22,Melaka,17
29-08-22,Negeri Sembilan,11
29-08-22,Pahang,10
29-08-22,Perak,23
29-08-22,Perlis,3
29-08-22,Pulau Pinang,13
29-08-22,Sabah,16
29-08-22,Sarawak,10
29-08-22,Selangor,68
29-08-22,Terengganu,9
29-08-22,W.P. Kuala Lumpur,17
29-08-22,W.P. Labuan,1
29-08-22,W.P. Putrajaya,6
30-08-22,Johor,35
30-08-22,Kedah,18
30-08-22,Kelantan,22
30-08-22,Melaka,10
30-08-22,Negeri Sembilan,14
30-08-22,Pahang,11
30-08-22,Perak,40
30-08-22,Perlis,4
30-08-22,Pulau Pinang,18
30-08-22,Sabah,22
30-08-22,Sarawak,14
30-08-22,Selangor,51
30-08-22,Terengganu,11
30-08-22,W.P. Kuala Lumpur,19
30-08-22,W.P. Labuan,1
30-08-22,W.P. Putrajaya,4
31-08-22,Johor,22
31-08-22,Kedah,14
31-08-22,Kelantan,15
31-08-22,Melaka,11
31-08-22,Negeri Sembilan,14
31-08-22,Pahang,7
31-08-22,Perak,46
31-08-22,Perlis,4
31-08-22,Pulau Pinang,16
31-08-22,Sabah,23
31-08-22,Sarawak,15
31-08-22,Selangor,54
31-08-22,Terengganu,6
31-08-22,W.P. Kuala Lumpur,15
31-08-22,W.P. Labuan,0
31-08-22,W.P. Putrajaya,4
01-09-22,Johor,32
01-09-22,Kedah,11
01-09-22,Kelantan,10
01-09-22,Melaka,15
01-09-22,Negeri Sembilan,11
01-09-22,Pahang,10
01-09-22,Perak,24
01-09-22,Perlis,8
01-09-22,Pulau Pinang,11
01-09-22,Sabah,17
01-09-22,Sarawak,8
01-09-22,Selangor,54
01-09-22,Terengganu,9
01-09-22,W.P. Kuala Lumpur,8
01-09-22,W.P. Labuan,0
01-09-22,W.P. Putrajaya,6
02-09-22,Johor,38
02-09-22,Kedah,21
02-09-22,Kelantan,17
02-09-22,Melaka,10
02-09-22,Negeri Sembilan,13
02-09-22,Pahang,13
02-09-22,Perak,21
02-09-22,Perlis,4
02-09-22,Pulau Pinang,11
02-09-22,Sabah,19
02-09-22,Sarawak,14
02-09-22,Selangor,44
02-09-22,Terengganu,9
02-09-22,W.P. Kuala Lumpur,12
02-09-22,W.P. Labuan,0
02-09-22,W.P. Putrajaya,4
03-09-22,Johor,29
03-09-22,Kedah,14
03-09-22,Kelantan,7
03-09-22,Melaka,10
03-09-22,Negeri Sembilan,11
03-09-22,Pahang,4
03-09-22,Perak,26
03-09-22,Perlis,2
03-09-22,Pulau Pinang,13
03-09-22,Sabah,23
03-09-22,Sarawak,17
03-09-22,Selangor,55
03-09-22,Terengganu,7
03-09-22,W.P. Kuala Lumpur,27
03-09-22,W.P. Labuan,1
03-09-22,W.P. Putrajaya,8
04-09-22,Johor,29
04-09-22,Kedah,13
04-09-22,Kelantan,12
04-09-22,Melaka,9
04-09-22,Negeri Sembilan,12
04-09-22,Pahang,6
04-09-22,Perak,22
04-09-22,Perlis,3
04-09-22,Pulau Pinang,11
04-09-22,Sabah,20
04-09-22,Sarawak,12
04-09-22,Selangor,44
04-09-22,Terengganu,9
04-09-22,W.P. Kuala Lumpur,16
04-09-22,W.P. Labuan,0
04-09-22,W.P. Putrajaya,6
05-09-22,Johor,25
05-09-22,Kedah,11
05-09-22,Kelantan,12
05-09-22,Melaka,9
05-09-22,Negeri Sembilan,12
05-09-22,Pahang,14
05-09-22,Perak,26
05-09-22,Perlis,3
05-09-22,Pulau Pinang,11
05-09-22,Sabah,23
05-09-22,Sarawak,16
05-09-22,Selangor,42
05-09-22,Terengganu,10
05-09-22,W.P. Kuala Lumpur,17
05-09-22,W.P. Labuan,0
05-09-22,W.P. Putrajaya,7
06-09-22,Johor,36
06-09-22,Kedah,22
06-09-22,Kelantan,12
06-09-22,Melaka,9
06-09-22,Negeri Sembilan,16
06-09-22,Pahang,11
06-09-22,Perak,28
06-09-22,Perlis,4
06-09-22,Pulau Pinang,13
06-09-22,Sabah,25
06-09-22,Sarawak,16
06-09-22,Selangor,47
06-09-22,Terengganu,8
06-09-22,W.P. Kuala Lumpur,16
06-09-22,W.P. Labuan,0
06-09-22,W.P. Putrajaya,8
07-09-22,Johor,44
07-09-22,Kedah,24
07-09-22,Kelantan,10
07-09-22,Melaka,6
07-09-22,Negeri Sembilan,24
07-09-22,Pahang,9
07-09-22,Perak,34
07-09-22,Perlis,3
07-09-22,Pulau Pinang,19
07-09-22,Sabah,25
07-09-22,Sarawak,17
07-09-22,Selangor,49
07-09-22,Terengganu,7
07-09-22,W.P. Kuala Lumpur,21
07-09-22,W.P. Labuan,1
07-09-22,W.P. Putrajaya,9
08-09-22,Johor,32
08-09-22,Kedah,28
08-09-22,Kelantan,9
08-09-22,Melaka,13
08-09-22,Negeri Sembilan,22
08-09-22,Pahang,15
08-09-22,Perak,17
08-09-22,Perlis,2
08-09-22,Pulau Pinang,13
08-09-22,Sabah,22
08-09-22,Sarawak,13
08-09-22,Selangor,48
08-09-22,Terengganu,6
08-09-22,W.P. Kuala Lumpur,15
08-09-22,W.P. Labuan,1
08-09-22,W.P. Putrajaya,11
09-09-22,Johor,36
09-09-22,Kedah,19
09-09-22,Kelantan,15
09-09-22,Melaka,20
09-09-22,Negeri Sembilan,14
09-09-22,Pahang,9
09-09-22,Perak,31
09-09-22,Perlis,5
09-09-22,Pulau Pinang,7
09-09-22,Sabah,20
09-09-22,Sarawak,9
09-09-22,Selangor,58
09-09-22,Terengganu,13
09-09-22,W.P. Kuala Lumpur,13
09-09-22,W.P. Labuan,1
09-09-22,W.P. Putrajaya,9
10-09-22,Johor,33
10-09-22,Kedah,23
10-09-22,Kelantan,14
10-09-22,Melaka,7
10-09-22,Negeri Sembilan,11
10-09-22,Pahang,10
10-09-22,Perak,33
10-09-22,Perlis,5
10-09-22,Pulau Pinang,14
